c_function,c_signature,go_file,go_func,go_signature,is_c_public,notes
_faceIjkToBaseCell,(C-internal: baseCells.c),baseCells__faceIjkToBaseCell.go,_faceIjkToBaseCell,func _faceIjkToBaseCell(h *FaceIJK) int32,false,kind: func
_faceIjkToBaseCellCCWrot60,(C-internal: baseCells.c),baseCells__faceIjkToBaseCellCCWrot60.go,_faceIjkToBaseCellCCWrot60,func _faceIjkToBaseCellCCWrot60(h *FaceIJK) int32,false,kind: func
_getBaseCellDirection,(C-internal: baseCells.c),baseCells__getBaseCellDirection.go,_getBaseCellDirection,"func _getBaseCellDirection(originBaseCell int32, neighboringBaseCell int32) Direction",false,kind: func
_getBaseCellNeighbor,(C-internal: baseCells.c),baseCells__getBaseCellNeighbor.go,_getBaseCellNeighbor,"func _getBaseCellNeighbor(baseCell int32, dir Direction) int32",false,kind: func
_isBaseCellPentagon,(C-internal: baseCells.c),baseCells__isBaseCellPentagon.go,_isBaseCellPentagon,func _isBaseCellPentagon(baseCell int32) bool,false,kind: func
_isBaseCellPolarPentagon,(C-internal: baseCells.c),baseCells__isBaseCellPolarPentagon.go,_isBaseCellPolarPentagon,func _isBaseCellPolarPentagon(baseCell int32) bool,false,kind: func
baseCellData,(C-internal: baseCells.c),baseCells__data.go,baseCellData,var baseCellData,false,kind: var
baseCellNeighbor60CCWRots,(C-internal: baseCells.c),baseCells__neighborRotations.go,baseCellNeighbor60CCWRots,var baseCellNeighbor60CCWRots,false,kind: var
baseCellNeighbors,(C-internal: baseCells.c),baseCells__neighbors.go,baseCellNeighbors,var baseCellNeighbors,false,kind: var
faceIjkBaseCells,(C-internal: baseCells.c),baseCells__faceIjkBaseCells.go,faceIjkBaseCells,var faceIjkBaseCells,false,kind: var
_hexRadiusKm,(C-internal: bbox.c),bbox__hexRadiusKm.go,_hexRadiusKm,func _hexRadiusKm(h3Index H3Index) float64,false,kind: func
bboxCenter,(C-internal: bbox.c),bbox__bboxCenter.go,bboxCenter,func bboxCenter(b *BBox) LatLng,false,kind: func
bboxContains,(C-internal: bbox.c),bbox__bboxContains.go,bboxContains,"func bboxContains(b *BBox, p *LatLng) bool",false,kind: func
