file,layer,package,build_tags,attributions,h3_c_api_refs,exported_decls
h3index__cellToParent_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
h3index__cellToParent_test.go,ported-internal-test,h3,"-",0,0,-
h3index__childPosToCell.go,ported-impl,h3,"-",1,0,0
h3index__childPosToCell_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
h3index__compactCells.go,ported-impl,h3,"-",1,0,0
h3index__compactCells_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
h3index__compactCells_test.go,ported-internal-test,h3,"-",0,0,-
h3index__describeH3Error.go,ported-impl,h3,"-",1,0,0
h3index__describeH3Error_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
h3index__describeH3Error_test.go,ported-internal-test,h3,"-",0,0,-
h3index__faceIjkToH3.go,ported-impl,h3,"-",1,0,0
h3index__faceIjkToH3_pentagon_rotation_test.go,ported-internal-test,h3,"cgo && c2go",0,0,-
h3index__faceIjkToH3_test.go,ported-internal-test,h3,"-",0,0,-
h3index__firstOneIndex.go,ported-impl,h3,"-",1,0,0
h3index__firstOneIndex_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
h3index__getIcosahedronFaces.go,ported-impl,h3,"-",1,0,0
h3index__getIcosahedronFaces_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
h3index__getIcosahedronFaces_test.go,ported-internal-test,h3,"-",0,0,-
h3index__getPentagons.go,ported-impl,h3,"-",1,0,0
h3index__getPentagons_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
h3index__getters.go,ported-impl,h3,"-",4,0,0
h3index__h3Rotate60ccw.go,ported-impl,h3,"-",1,0,0
h3index__h3Rotate60ccw_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
h3index__h3Rotate60cw.go,ported-impl,h3,"-",1,0,0
h3index__h3Rotate60cw_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
h3index__h3RotatePent60ccw.go,ported-impl,h3,"-",1,0,0
h3index__h3RotatePent60ccw_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
h3index__h3RotatePent60cw.go,ported-impl,h3,"-",1,0,0
