file,layer,package,build_tags,attributions,h3_c_api_refs,exported_decls
mathExtensions_cgo.go,parity-cgo-bridge,h3,"cgo && c2go",0,0,-
mathExtensions_internal_test.go,ported-internal-test,h3,"-",0,0,-
metrics.go,public-api,h3,"-",0,13,7
polyfill__baseCellNumToCell.go,ported-impl,h3,"-",1,0,0
polyfill_cellToBBox.go,ported-impl,h3,"-",1,0,0
polyfill_cellToBBox_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
polyfill_cellToBBox_test.go,ported-internal-test,h3,"-",0,0,-
polyfill_cgo.go,parity-cgo-bridge,h3,"cgo && c2go",0,0,-
polyfill_constants.go,ported-impl,h3,"-",8,0,0
polyfill_maxPolygonToCellsSizeExperimental.go,ported-impl,h3,"-",1,0,0
polyfill_maxPolygonToCellsSizeExperimental_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
polyfill_polygonToCellsExperimental.go,ported-impl,h3,"-",9,0,0
polyfill_polygonToCellsExperimental_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
polyfill_testPolyfillInternal_test.go,ported-internal-test,h3,"-",0,0,-
polygon__bboxFromGeoLoop.go,ported-impl,h3,"-",1,0,0
polygon__bboxFromGeoLoop_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
polygon__bboxesFromGeoPolygon.go,ported-impl,h3,"-",1,0,0
polygon__bboxesFromGeoPolygon_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
polygon__cellBoundaryCrossesGeoLoop.go,ported-impl,h3,"-",1,0,0
polygon__cellBoundaryCrossesGeoLoop_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
polygon__cellBoundaryCrossesPolygon.go,ported-impl,h3,"-",1,0,0
polygon__cellBoundaryCrossesPolygon_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
polygon__cellBoundaryInsidePolygon.go,ported-impl,h3,"-",1,0,0
polygon__cellBoundaryInsidePolygon_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
polygon__isClockwiseGeoLoop.go,ported-impl,h3,"-",2,0,0
polygon__isClockwiseGeoLoop_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
polygon__lineCrossesLine.go,ported-impl,h3,"-",1,0,0
polygon__parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
polygon__pointInsideGeoLoop.go,ported-impl,h3,"-",1,0,0
polygon__pointInsideGeoLoop_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
polygon__pointInsidePolygon.go,ported-impl,h3,"-",1,0,0
polygon__pointInsidePolygon_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
polygon__validatePolygonFlags.go,ported-impl,h3,"-",1,0,0
polygon__validatePolygonFlags_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
polygon_cgo.go,parity-cgo-bridge,h3,"cgo && c2go",0,0,-
polygon_types.go,ported-public-types,h3,"-",0,1,6
public_ergonomics_test.go,public-api-test,h3,"-",0,0,-
public_h3v44_test.go,public-api-test,h3,"-",0,0,-
public_typed_text_test.go,public-api-test,h3,"-",0,0,-
public_wave1_test.go,public-api-test,h3,"-",0,0,-
public_wave2_test.go,public-api-test,h3,"-",0,0,-
public_wave3_test.go,public-api-test,h3,"-",0,0,-
region.go,public-api,h3,"-",0,12,12
testCellToBoundaryEdgeCases_test.go,ported-upstream-test,h3,"-",0,0,-
testCellToCenterChild_test.go,ported-upstream-test,h3,"-",0,0,-
testCellToChildPos_test.go,ported-upstream-test,h3,"-",0,0,-
testCellToChildrenSize_test.go,ported-upstream-test,h3,"-",0,0,-
testCellToChildren_test.go,ported-upstream-test,h3,"-",0,0,-
testCellToLocalIjExhaustive_test.go,ported-upstream-test,h3,"-",0,0,-
testCellToLocalIj_test.go,ported-upstream-test,h3,"-",0,0,-
testConstructCell_test.go,ported-upstream-test,h3,"-",1,0,-
testDirectedEdgeExhaustive_test.go,ported-upstream-test,h3,"-",0,0,-
testDirectedEdge_test.go,ported-upstream-test,h3,"-",0,0,-
testGridDisk_test.go,ported-upstream-test,h3,"-",0,0,-
testH3CellArea_test.go,ported-upstream-test,h3,"-",0,0,-
testH3NeighborRotations_test.go,ported-upstream-test,h3,"-",0,0,-
testIndexDigits_test.go,ported-upstream-test,h3,"-",1,0,-
testLatLngInternal_test.go,ported-upstream-test,h3,"-",0,0,-
testLatLng_test.go,ported-upstream-test,h3,"-",0,0,-
testLinkedGeoInternal_test.go,ported-upstream-test,h3,"-",0,0,-
testPolygonInternal_polygonInternal_test.go,ported-upstream-test,h3,"-",0,0,-
testPolygonToCellsExperimental_test.go,ported-upstream-test,h3,"-",0,0,-
testPolygonToCellsReportedExperimental_polygonToCellsExperimental_test.go,ported-upstream-test,h3,"-",0,0,-
testPolygonToCellsReported_polygonToCells_test.go,ported-upstream-test,h3,"-",0,0,-
testPolygonToCells_polygonToCells_test.go,ported-upstream-test,h3,"-",0,0,-
testVertex_test.go,ported-upstream-test,h3,"-",0,0,-
traversal.go,public-api,h3,"-",0,22,5
upstream_fixture_test.go,ported-upstream-test,h3,"-",0,0,-
upstream_fuzz_test.go,ported-upstream-test,h3,"-",0,0,-
utility__iterateAllIndexesAtRes.go,ported-impl,h3,"-",1,0,0
utility__iterateAllIndexesAtResPartial.go,ported-impl,h3,"-",1,0,0
utility__iterateAllIndexesAtResPartial_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
utility__iterateAllIndexesAtRes_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
utility__iterateBaseCellIndexesAtRes.go,ported-impl,h3,"-",1,0,0
utility__iterateBaseCellIndexesAtRes_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
utility_bboxPrint.go,ported-impl,h3,"-",1,0,0
utility_bboxPrintln.go,ported-impl,h3,"-",1,0,0
utility_cellBoundaryPrint.go,ported-impl,h3,"-",1,0,0
utility_cellBoundaryPrintln.go,ported-impl,h3,"-",1,0,0
utility_cgo.go,parity-cgo-bridge,h3,"cgo && c2go",0,0,-
utility_constants.go,ported-impl,h3,"-",1,0,0
utility_coordIjkPrint.go,ported-impl,h3,"-",1,0,0
utility_geoPrint.go,ported-impl,h3,"-",1,0,0
utility_geoPrintNoFmt.go,ported-impl,h3,"-",1,0,0
utility_geoPrintln.go,ported-impl,h3,"-",1,0,0
utility_geoPrintlnNoFmt.go,ported-impl,h3,"-",1,0,0
utility_geoToStringDegs.go,ported-impl,h3,"-",1,0,0
utility_geoToStringDegsNoFmt.go,ported-impl,h3,"-",1,0,0
utility_geoToStringRads.go,ported-impl,h3,"-",1,0,0
utility_h3Print.go,ported-impl,h3,"-",1,0,0
utility_h3Println.go,ported-impl,h3,"-",1,0,0
utility_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
vec2d__v2dAlmostEquals.go,ported-impl,h3,"-",1,0,0
vec2d__v2dAlmostEquals_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
vec2d__v2dIntersect.go,ported-impl,h3,"-",1,0,0
vec2d__v2dIntersect_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
vec2d__v2dMag.go,ported-impl,h3,"-",1,0,0
vec2d__v2dMag_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
vec2d_cgo.go,parity-cgo-bridge,h3,"cgo && c2go",0,0,-
vec2d_testVec2dInternal_test.go,ported-internal-test,h3,"-",0,0,-
vec2d_types.go,ported-impl,h3,"-",0,0,0
vec3d__geoToVec3d.go,ported-impl,h3,"-",1,0,0
vec3d__geoToVec3d_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
vec3d__geoToVec3d_test.go,ported-internal-test,h3,"-",0,0,-
vec3d__pointSquareDist.go,ported-impl,h3,"-",1,0,0
vec3d__pointSquareDist_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
vec3d__pointSquareDist_test.go,ported-internal-test,h3,"-",0,0,-
vec3d__square.go,ported-impl,h3,"-",1,0,0
vec3d__square_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
vec3d_cgo.go,parity-cgo-bridge,h3,"cgo && c2go",0,0,-
vec3d_types.go,ported-impl,h3,"-",0,0,0
vertex.go,public-api,h3,"-",0,7,1
vertexGraph__hashVertex.go,ported-impl,h3,"-",1,0,0
vertexGraph__hashVertex_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
vertexGraph__initVertexGraph.go,ported-impl,h3,"-",1,0,0
vertexGraph__initVertexGraph_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
vertexGraph__initVertexNode.go,ported-impl,h3,"-",1,0,0
vertexGraph__initVertexNode_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
vertexGraph_addVertexNode.go,ported-impl,h3,"-",1,0,0
vertexGraph_addVertexNode_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
vertexGraph_cgo.go,parity-cgo-bridge,h3,"cgo && c2go",0,0,-
vertexGraph_destroyVertexGraph.go,ported-impl,h3,"-",1,0,0
vertexGraph_destroyVertexGraph_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
vertexGraph_findNodeForEdge.go,ported-impl,h3,"-",1,0,0
vertexGraph_findNodeForEdge_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
vertexGraph_findNodeForVertex.go,ported-impl,h3,"-",1,0,0
vertexGraph_findNodeForVertex_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
vertexGraph_firstVertexNode.go,ported-impl,h3,"-",1,0,0
vertexGraph_firstVertexNode_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
vertexGraph_removeVertexNode.go,ported-impl,h3,"-",1,0,0
vertexGraph_removeVertexNode_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
vertexGraph_types.go,ported-impl,h3,"-",0,0,0
vertex__directionForVertexNum.go,ported-impl,h3,"-",1,0,0
vertex__directionForVertexNum_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
vertex__vertexInternal_test.go,ported-internal-test,h3,"-",0,0,-
vertex__vertexNumForDirection.go,ported-impl,h3,"-",1,0,0
vertex__vertexNumForDirection_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
vertex__vertexRotations.go,ported-impl,h3,"-",1,0,0
vertex__vertexRotations_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
vertex_cellToVertex.go,ported-impl,h3,"-",1,0,0
vertex_cellToVertex_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
vertex_cellToVertexes.go,ported-impl,h3,"-",1,0,0
vertex_cellToVertexes_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
vertex_cgo.go,parity-cgo-bridge,h3,"cgo && c2go",0,0,-
vertex_constants.go,ported-impl,h3,"-",10,0,0
vertex_isValidVertex.go,ported-impl,h3,"-",1,0,0
vertex_isValidVertex_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
vertex_testVertexExhaustive_test.go,ported-internal-test,h3,"-",0,0,-
vertex_vertexToLatLng.go,ported-impl,h3,"-",1,0,0
vertex_vertexToLatLng_parity_test.go,parity-test,h3,"cgo && c2go",0,0,-
vertexgraph_testVertexGraphInternal_test.go,ported-internal-test,h3,"-",0,0,-
